-0.064526,5.7346e-05
-0.052527,0.00017476
-0.040528,0.00043605
-0.028529,0.0010177
-0.016531,0.0021871
-0.0045319,0.0043532
0.0074669,0.0080443
0.019466,0.013806
0.031464,0.022025
0.043463,0.032816
0.055462,0.045722
0.067461,0.060008
0.079459,0.074658
0.091458,0.089168
0.10346,0.10371
0.11546,0.11961
0.12745,0.1389
0.13945,0.16386
0.15145,0.19612
0.16345,0.236
0.17545,0.28246
0.18745,0.33295
0.19945,0.38475
0.21145,0.43545
0.22344,0.48375
0.23544,0.52951
0.24744,0.57361
0.25944,0.6167
0.27144,0.65932
0.28344,0.70122
0.29544,0.74168
0.30744,0.77989
0.31943,0.81521
0.33143,0.84742
0.34343,0.87703
0.35543,0.90398
0.36743,0.92864
0.37943,0.95115
0.39143,0.97143
0.40343,0.98936
0.41542,1.0055
0.42742,1.0208
0.43942,1.0372
0.45142,1.0562
0.46342,1.0788
0.47542,1.1043
0.48742,1.1303
0.49941,1.1539
0.51141,1.1735
0.52341,1.1882
0.53541,1.1988
0.54741,1.2068
0.55941,1.213
0.57141,1.2178
0.58341,1.2221
0.5954,1.2272
0.6074,1.2344
0.6194,1.2446
0.6314,1.258
0.6434,1.2733
0.6554,1.2884
0.6674,1.3008
0.6794,1.3088
0.69139,1.3113
0.70339,1.3083
0.71539,1.3009
0.72739,1.2908
0.73939,1.2793
0.75139,1.268
0.76339,1.2586
0.77539,1.2527
0.78738,1.2525
0.79938,1.2607
0.81138,1.2791
0.82338,1.3082
0.83538,1.3459
0.84738,1.3878
0.85938,1.4233
0.87138,1.4418
0.88337,1.4335
0.89537,1.3945
0.90737,1.3321
0.91937,1.2652
0.93137,1.2203
0.94337,1.221
0.95537,1.2762
0.96737,1.371
0.97936,1.4686
0.99136,1.5226
1.0034,1.4948
1.0154,1.3708
1.0274,1.1651
1.0394,0.91408
1.0514,0.66033
1.0634,0.43871
1.0754,0.26783
1.0874,0.15027
1.0994,0.077437
1.1114,0.036661
1.1233,0.01594
